びんのふたは<u>固く</u>しめておいてください。,かるく,ゆるく,きつく,かたく,4,"
<p>译文：请把瓶盖拎紧。<br/>
1　かるく（軽い）：轻轻地<br/>
2　ゆるく（緩い）：慢慢地<br/>
3　きつく：紧紧地<br/>
4　かたく（固い）：结实地<br/>
注意：「固く」在这里表示的是紧而不易分离/しっかりしていて、たやすく離れない</p>",2012-07-N3（8）
このひもは<u>短すぎて</u>使いにくい。,よわすぎて,みじかすぎて,ほそすぎて,かたすぎて,2,"
<p>
译文：这个带子太短了不好用。<br/>
1　よわすぎて：太弱小<br/>
2　みじかすぎて：太短<br/>
3　ほそすぎて：太细了<br/>
4　かたすぎて：太硬了</p>",2012-12-N3（1）
あの人は<u>他人</u>の意見を全然聞かない。,ちにん,たじん,たにん,ちじん,3,"
<p>
译文：那个人完全听不进去别人的话。<br/>
1　ちにん不存在该选项。<br/>
2　たじん不存在该选项。<br/>
3　たにん（他人）：别人，外人<br/>
4　ちじん（知人）：熟人</p>",2012-12-N3（2）
人口の変化をグラフで<u>示した</u>。,うつした,さした,あらわした,しめした,4,"
<p>
译文：用图表表示出人口的变化。<br/>
1　うつした（移す）：转移，移动<br/>
2　さした（指す）：指<br/>
3　あらわした（表わす）：表达<br/>
4　しめした（示す）：表示，表现</p>",2012-12-N3（3）
田中さんは<u>外科</u>のお医者さんです。,がいか,げか,げいか,がか,2,"
<p>
译文：田中是外科医生。<br/>
1　がいか（外貨）：外币<br/>
2　げか（外科）：外科<br/>
3　げいか（猊下）：猊下，对高僧的称呼<br/>
4　がか（画家）：画家</p>",2012-12-N3（4）
佐藤さんは<u>笑顔</u>がとてもすてきです。,えがお,えかお,わらがお,わらかお,1,"
<p>
译文：佐藤的笑脸很漂亮。<br/>
1　えがお（笑顔）：笑脸<br/>
2　えかお：不存在该选项<br/>
3　わらがお：不存在该选项<br/>
4　わらかお：不存在该选项</p>",2012-12-N3（5）
5時<u>以降</u>にもう一度お電話ください。,いこ,いごう,いこう,いご,3,"
<p>
译文：请五点以后再打一次电话。<br/>
1　いこ（遺孤）:遗孤<br/>
2　いごう（意業）：思想活动<br/>
3　いこう（以降）：以后，之后<br/>
4　いご（囲碁）：围棋</p>",2012-12-N3（6）
道路を<u>横断</u>するときは、車に十分注意してください。,おうだん,よこだん,おうたん,よこたん,1,"
<p>
译文：横穿马路的时候请一定要注意车辆。<br/>
1　おうだん（横断）：横穿<br/>
2　よこだん：不存在该选项<br/>
3　おうたん：不存在该选项<br/>
4　よこたん：不存在该选项</p>",2012-12-N3（7）
わたしが<u>合図</u>をしたら、始めてください。,ごうと,あいと,ごうず,あいず,4,"
<p>
译文：我一发出信号就开始。<br/>
1　ごうと：不存在该选项<br/>
2　あいと：不存在该选项<br/>
3　ごうず：不存在该选项<br/>
4　あいず（合図）：暗号，信号</p>",2012-12-N3（8）
<u>苦しい</u>ときは、この歌を聞きました。,かなしい,くやしい,くるしい,さびしい,3,"
<p>
译文：难受的时候，我会听这首歌。<br/>
1　かなしい（悲しい）： 悲伤<br/>
2　くやしい（悔しい） ：不甘心<br/>
3　くるしい （苦しい）： 难过、难受<br/>
4　さびしい（寂しい）： 寂寞</p>",2013-07-N3（1）
